id	native_type	computed_offset	byte_length	hex_offset
game.game_turn	ushort	0	2	0
game.player_civ	ushort	2	2	2
game.player_civ_flag	flagshort	4	2	4
game.random_seed	ushort	6	2	6
game.year	short	8	2	8
game.difficulty	ushort	10	2	A
game.active_civs	flagshort	12	2	C
game.current_research_ID	ushort	14	2	E
game.civ0.leader	string	16	14	10
game.civ1.leader	string	30	14	1E
game.civ2.leader	string	44	14	2C
game.civ3.leader	string	58	14	3A
game.civ4.leader	string	72	14	48
game.civ5.leader	string	86	14	56
game.civ6.leader	string	100	14	64
game.civ7.leader	string	114	14	72
game.civ0.name	string	128	12	80
game.civ1.name	string	140	12	8C
game.civ2.name	string	152	12	98
game.civ3.name	string	164	12	A4
game.civ4.name	string	176	12	B0
game.civ5.name	string	188	12	BC
game.civ6.name	string	200	12	C8
game.civ7.name	string	212	12	D4
game.civ0.nationality	string	224	11	E0
game.civ1.nationality	string	235	11	EB
game.civ2.nationality	string	246	11	F6
game.civ3.nationality	string	257	11	101
game.civ4.nationality	string	268	11	10C
game.civ5.nationality	string	279	11	117
game.civ6.nationality	string	290	11	122
game.civ7.nationality	string	301	11	12D
game.civ0.cash	short	312	2	138
game.civ1.cash	short	314	2	13A
game.civ2.cash	short	316	2	13C
game.civ3.cash	short	318	2	13E
game.civ4.cash	short	320	2	140
game.civ5.cash	short	322	2	142
game.civ6.cash	short	324	2	144
game.civ7.cash	short	326	2	146
game.civ0.research	short	328	2	148
game.civ1.research	short	330	2	14A
game.civ2.research	short	332	2	14C
game.civ3.research	short	334	2	14E
game.civ4.research	short	336	2	150
game.civ5.research	short	338	2	152
game.civ6.research	short	340	2	154
game.civ7.research	short	342	2	156
game.civ0.active_units0	short	344	2	158
game.civ0.active_units1	short	346	2	15A
game.civ0.active_units2	short	348	2	15C
game.civ0.active_units3	short	350	2	15E
game.civ0.active_units4	short	352	2	160
game.civ0.active_units5	short	354	2	162
game.civ0.active_units6	short	356	2	164
game.civ0.active_units7	short	358	2	166
game.civ0.active_units8	short	360	2	168
game.civ0.active_units9	short	362	2	16A
game.civ0.active_units10	short	364	2	16C
game.civ0.active_units11	short	366	2	16E
game.civ0.active_units12	short	368	2	170
game.civ0.active_units13	short	370	2	172
game.civ0.active_units14	short	372	2	174
game.civ0.active_units15	short	374	2	176
game.civ0.active_units16	short	376	2	178
game.civ0.active_units17	short	378	2	17A
game.civ0.active_units18	short	380	2	17C
game.civ0.active_units19	short	382	2	17E
game.civ0.active_units20	short	384	2	180
game.civ0.active_units21	short	386	2	182
game.civ0.active_units22	short	388	2	184
game.civ0.active_units23	short	390	2	186
game.civ0.active_units24	short	392	2	188
game.civ0.active_units25	short	394	2	18A
game.civ0.active_units26	short	396	2	18C
game.civ0.active_units27	short	398	2	18E
game.civ1.active_units0	short	400	2	190
game.civ1.active_units1	short	402	2	192
game.civ1.active_units2	short	404	2	194
game.civ1.active_units3	short	406	2	196
game.civ1.active_units4	short	408	2	198
game.civ1.active_units5	short	410	2	19A
game.civ1.active_units6	short	412	2	19C
game.civ1.active_units7	short	414	2	19E
game.civ1.active_units8	short	416	2	1A0
game.civ1.active_units9	short	418	2	1A2
game.civ1.active_units10	short	420	2	1A4
game.civ1.active_units11	short	422	2	1A6
game.civ1.active_units12	short	424	2	1A8
game.civ1.active_units13	short	426	2	1AA
game.civ1.active_units14	short	428	2	1AC
game.civ1.active_units15	short	430	2	1AE
game.civ1.active_units16	short	432	2	1B0
game.civ1.active_units17	short	434	2	1B2
game.civ1.active_units18	short	436	2	1B4
game.civ1.active_units19	short	438	2	1B6
game.civ1.active_units20	short	440	2	1B8
game.civ1.active_units21	short	442	2	1BA
game.civ1.active_units22	short	444	2	1BC
game.civ1.active_units23	short	446	2	1BE
game.civ1.active_units24	short	448	2	1C0
game.civ1.active_units25	short	450	2	1C2
game.civ1.active_units26	short	452	2	1C4
game.civ1.active_units27	short	454	2	1C6
game.civ2.active_units0	short	456	2	1C8
game.civ2.active_units1	short	458	2	1CA
game.civ2.active_units2	short	460	2	1CC
game.civ2.active_units3	short	462	2	1CE
game.civ2.active_units4	short	464	2	1D0
game.civ2.active_units5	short	466	2	1D2
game.civ2.active_units6	short	468	2	1D4
game.civ2.active_units7	short	470	2	1D6
game.civ2.active_units8	short	472	2	1D8
game.civ2.active_units9	short	474	2	1DA
game.civ2.active_units10	short	476	2	1DC
game.civ2.active_units11	short	478	2	1DE
game.civ2.active_units12	short	480	2	1E0
game.civ2.active_units13	short	482	2	1E2
game.civ2.active_units14	short	484	2	1E4
game.civ2.active_units15	short	486	2	1E6
game.civ2.active_units16	short	488	2	1E8
game.civ2.active_units17	short	490	2	1EA
game.civ2.active_units18	short	492	2	1EC
game.civ2.active_units19	short	494	2	1EE
game.civ2.active_units20	short	496	2	1F0
game.civ2.active_units21	short	498	2	1F2
game.civ2.active_units22	short	500	2	1F4
game.civ2.active_units23	short	502	2	1F6
game.civ2.active_units24	short	504	2	1F8
game.civ2.active_units25	short	506	2	1FA
game.civ2.active_units26	short	508	2	1FC
game.civ2.active_units27	short	510	2	1FE
game.civ3.active_units0	short	512	2	200
game.civ3.active_units1	short	514	2	202
game.civ3.active_units2	short	516	2	204
game.civ3.active_units3	short	518	2	206
game.civ3.active_units4	short	520	2	208
game.civ3.active_units5	short	522	2	20A
game.civ3.active_units6	short	524	2	20C
game.civ3.active_units7	short	526	2	20E
game.civ3.active_units8	short	528	2	210
game.civ3.active_units9	short	530	2	212
game.civ3.active_units10	short	532	2	214
game.civ3.active_units11	short	534	2	216
game.civ3.active_units12	short	536	2	218
game.civ3.active_units13	short	538	2	21A
game.civ3.active_units14	short	540	2	21C
game.civ3.active_units15	short	542	2	21E
game.civ3.active_units16	short	544	2	220
game.civ3.active_units17	short	546	2	222
game.civ3.active_units18	short	548	2	224
game.civ3.active_units19	short	550	2	226
game.civ3.active_units20	short	552	2	228
game.civ3.active_units21	short	554	2	22A
game.civ3.active_units22	short	556	2	22C
game.civ3.active_units23	short	558	2	22E
game.civ3.active_units24	short	560	2	230
game.civ3.active_units25	short	562	2	232
game.civ3.active_units26	short	564	2	234
game.civ3.active_units27	short	566	2	236
game.civ4.active_units0	short	568	2	238
game.civ4.active_units1	short	570	2	23A
game.civ4.active_units2	short	572	2	23C
game.civ4.active_units3	short	574	2	23E
game.civ4.active_units4	short	576	2	240
game.civ4.active_units5	short	578	2	242
game.civ4.active_units6	short	580	2	244
game.civ4.active_units7	short	582	2	246
game.civ4.active_units8	short	584	2	248
game.civ4.active_units9	short	586	2	24A
game.civ4.active_units10	short	588	2	24C
game.civ4.active_units11	short	590	2	24E
game.civ4.active_units12	short	592	2	250
game.civ4.active_units13	short	594	2	252
game.civ4.active_units14	short	596	2	254
game.civ4.active_units15	short	598	2	256
game.civ4.active_units16	short	600	2	258
game.civ4.active_units17	short	602	2	25A
game.civ4.active_units18	short	604	2	25C
game.civ4.active_units19	short	606	2	25E
game.civ4.active_units20	short	608	2	260
game.civ4.active_units21	short	610	2	262
game.civ4.active_units22	short	612	2	264
