Warning Analysis
================

Generated: 2026-06-13 21:05:44

Count    Warning      Description
00000052	52	CS8625	Cannot convert null literal to non-nullable reference type. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
49       CS8600       Converting null literal or possible null value to non-nullable type. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
34       CS8603       Possible null reference return. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
34       CS8602       Dereference of a possibly null reference. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
24       CS8622       Nullability of reference types in type of parameter 'sender' of 'void BaseDialog.Cancel(object sender = null, EventArgs args = null)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
18       CS8618       Non-nullable field '_menu' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
10       CS8601       Possible null reference assignment. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
10       CA1510       Use 'ArgumentNullException.ThrowIfNull' instead of explicitly throwing a new exception instance (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1510) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
9        CS8618       Non-nullable field '_instance' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
8        CA1051       Do not declare visible instance fields (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1051) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
6        CS8604       Possible null reference argument for parameter 'layer' in 'IBitmap BitmapExtensions.AddLayer(IBitmap bitmap, IBitmap layer, int left = 0, int top = 0, bool dispose = false)'. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
5        CA2201       Exception type System.Exception is not sufficiently specific (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca2201) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
4        CS8604       Possible null reference argument for parameter 'id' in 'McpResponse GameGetSettingsToolHandler.JsonResponse(object id, object payload)'. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
4        CS8604       Possible null reference argument for parameter 'bitmap' in 'IBitmap BitmapExtensions.ColourReplace(IBitmap bitmap, params (byte From, byte To)[] fromToColours)'. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
4        CA1805       Member '_page' is explicitly initialized to its default value (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1805) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
3        CS8618       Non-nullable event 'Cancel' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
3        CS8618       Non-nullable event 'Accept' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
3        CS8604       Possible null reference argument for parameter 'id' in 'McpResponse GameGetEntitiesIndexToolHandler.JsonResponse(object id, object payload)'. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
3        CA2263       Prefer the generic overload 'System.Enum.GetValues<TEnum>()' instead of 'System.Enum.GetValues(System.Type)' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca2263) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
3        CA1859       Change type of variable 'testee' from 'CivOne.Services.HallOfFame.IHallOfFameCommandService' to 'CivOne.Services.HallOfFame.HallOfFameCommandService' for improved performance (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1859) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\xunit\CivOne.UnitTests.csproj]
3        CA1854       Prefer a 'TryGetValue' call over a Dictionary indexer access guarded by a 'ContainsKey' check to avoid double lookup (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1854) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
3        CA1305       The behavior of 'string.Format(string, object)' could vary based on the current user's locale settings. Replace this call in 'BaseWonder.DrawPage(byte)' with a call to 'string.Format(IFormatProvider, string, params object[])'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1305) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8622       Nullability of reference types in type of parameter 'sender' of 'void PaletteViewerScreen.MenuCancel(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8622       Nullability of reference types in type of parameter 'sender' of 'void OnClosed(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8622       Nullability of reference types in type of parameter 'sender' of 'void GameOptions.MenuCancel(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8618       Non-nullable property 'TranslatedName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8618       Non-nullable property 'Tiles' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8618       Non-nullable property 'Name' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8618       Non-nullable property 'DialogBox' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8618       Non-nullable field '_selectedPlayer' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8618       Non-nullable field '_capturedBackground' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8604       Possible null reference argument for parameter 'layer' in 'Bytemap BytemapExtensions.AddLayer(Bytemap bytemap, Bytemap layer, int left = 0, int top = 0)'. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CS8604       Possible null reference argument for parameter 'id' in 'McpResponse GameListSavesToolHandler.JsonResponse(object id, object payload)'. [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CA2201       Exception type System.Exception is not sufficiently specific (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca2201) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\xunit\CivOne.UnitTests.csproj]
2        CA1869       Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1869) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CA1861       Prefer 'static readonly' fields over constant array arguments if the called method is called repeatedly and is not mutating the passed array (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1861) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\xunit\CivOne.UnitTests.csproj]
2        CA1852       Type 'MockUnitFactoryForTesting' can be sealed because it has no subtypes in its containing assembly and is not externally visible (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1852) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\xunit\CivOne.UnitTests.csproj]
2        CA1852       Type 'MockPlayerFactoryForTesting' can be sealed because it has no subtypes in its containing assembly and is not externally visible (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1852) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\xunit\CivOne.UnitTests.csproj]
2        CA1852       Type 'FixedPlayerOwnerResolver' can be sealed because it has no subtypes in its containing assembly and is not externally visible (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1852) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\xunit\CivOne.UnitTests.csproj]
2        CA1829       Use the "Length" property instead of Enumerable.Count() (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1829) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CA1805       Member '_lineTick' is explicitly initialized to its default value (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1805) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CA1805       Member '_currentLine' is explicitly initialized to its default value (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1805) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CA1311       Specify a culture or use an invariant version to avoid implicit dependency on current culture (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1311) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
2        CA1305       The behavior of 'string.Format(string, object)' could vary based on the current user's locale settings. Replace this call in 'SaveGameFile.SaveGameFile(string)' with a call to 'string.Format(IFormatProvider, string, params object[])'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1305) [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8767       Nullability of reference types in type of parameter 'value' of 'void SpaceShipGridMapYamlTypeConverter.WriteYaml(IEmitter emitter, object value, Type type, ObjectSerializer serializer)' doesn't match implicitly implemented member 'void IYamlTypeConverter.WriteYaml(IEmitter emitter, object? value, Type type, ObjectSerializer serializer)' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8767       Nullability of reference types in type of parameter 'value' of 'void MapLocationYamlConverter.WriteYaml(IEmitter emitter, object value, Type type, ObjectSerializer serializer)' doesn't match implicitly implemented member 'void IYamlTypeConverter.WriteYaml(IEmitter emitter, object? value, Type type, ObjectSerializer serializer)' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8767       Nullability of reference types in type of parameter 'value' of 'void MapDtoTileDtoYamlConverter.WriteYaml(IEmitter emitter, object value, Type type, ObjectSerializer serializer)' doesn't match implicitly implemented member 'void IYamlTypeConverter.WriteYaml(IEmitter emitter, object? value, Type type, ObjectSerializer serializer)' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8767       Nullability of reference types in type of parameter 'value' of 'void ByteArrayArrayFlowStyleYamlTypeConverter.WriteYaml(IEmitter emitter, object value, Type type, ObjectSerializer serializer)' doesn't match implicitly implemented member 'void IYamlTypeConverter.WriteYaml(IEmitter emitter, object? value, Type type, ObjectSerializer serializer)' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
